rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,624,19.85,2460,84627,-0.6613974446972111,37312,0.20092437230050564
0.07,626,18.62,2470,84815,-0.6327394467400365,37400,0.19545086845755577
0.07,627,18.63,2480,84971,-0.6334168904839674,37480,0.22778004594147205
0.07,629,18.23,2490,85141,-0.6085945099416056,37568,0.12355272506829351
0.07,631,19.13,2500,85424,-0.6132268463241944,37704,0.16797216655686498
0.07,632,18.84,2510,85550,-0.6029175901509185,37768,0.17721671890467405
0.07,634,18.1,2520,85727,-0.5818314352891245,37856,0.20049406867474318
0.07,636,18.4,2530,85936,-0.5886596363325314,37960,0.2246298799291253
0.07,637,18.29,2540,86176,-0.5911981500920437,38080,0.18379685934633017
0.07,639,18.49,2550,86378,-0.5909587314013408,38184,0.21244985982775688
0.07,641,18.32,2560,86559,-0.5882419170222297,38272,0.16330798156559467
0.07,642,18.35,2570,86750,-0.5911165701019381,38368,0.19711593072861433
0.07,644,18.64,2580,86935,-0.5948607343480821,38464,0.16986521537182853
0.07,645,18.6,2590,87101,-0.5926327498474003,38544,0.22803997807204723
0.07,647,17.53,2600,87277,-0.5908458453232182,38632,0.13431454729288816
0.07,648,18.05,2610,87455,-0.6170976354041778,38720,0.1665940834209323
0.07,650,17.75,2620,87602,-0.6137596528277369,38800,0.1813727356493473
0.07,652,19.22,2630,87958,-0.638857534030308,38976,0.25686410441994667
0.07,654,18.59,2640,88135,-0.6218562750644755,39064,0.19955325219780207
0.07,655,18.3,2650,88308,-0.6072678198358202,39152,0.19310259819030762
0.07,657,18.03,2660,88462,-0.5975638874633382,39224,0.20833376795053482
0.07,658,18.27,2670,88677,-0.6182869048515633,39336,0.1604363340884447
0.07,659,17.64,2680,88799,-0.6057440625526541,39392,0.19725716207176447
0.07,661,18.45,2690,89046,-0.6333049112777295,39520,0.21321909222751856
0.07,663,18.84,2700,89261,-0.6316509116165168,39624,0.2121686120517552
0.07,665,18.73,2710,89428,-0.6220836962858369,39712,0.11773629952222109
0.07,667,19.55,2720,89657,-0.6232103102836415,39824,0.22357631381601095
0.07,668,17.84,2730,89842,-0.5847205975556974,39920,0.15435360185801983
0.07,669,17.63,2740,89998,-0.5821236455348072,39992,0.15194786759093404
0.07,672,19.14,2750,90322,-0.632523849408333,40160,0.16876248782500625
0.07,675,20.47,2760,90609,-0.6716210646526782,40304,0.20835664309561253
0.07,677,21.48,2770,90925,-0.6866137732323913,40456,0.19200909323990345
0.07,679,22.26,2780,91125,-0.7022118181733441,40560,0.18924434203654528
0.07,681,21.65,2790,91311,-0.6793255798905713,40648,0.18937553884461522
0.07,682,20.8,2800,91441,-0.6575610007309923,40720,0.22006478160619736
0.07,684,21.72,2810,91700,-0.6720472980984914,40848,0.14816407393664122
0.07,685,21.45,2820,91902,-0.6771632822333009,40944,0.19389421679079533
0.07,687,21.73,2830,92115,-0.6753069368991257,41056,0.20328244473785162
0.07,689,22.21,2840,92319,-0.6779947344513643,41152,0.11458605877123773
0.07,691,21.15,2850,92537,-0.6275242717923849,41264,0.18982541002333164
0.07,692,20.19,2860,92728,-0.6057803093656264,41360,0.1623670624103397
0.07,695,20.0,2870,93025,-0.5983308021075694,41512,0.17247959540691227
0.07,698,22.06,2880,93431,-0.6383577236985402,41712,0.18174748262390494
0.07,700,22.0,2890,93611,-0.6402941442591089,41800,0.19348506722599268
0.07,701,22.78,2900,93819,-0.6593063041349558,41904,0.23700111359357834
0.07,704,23.3,2910,94130,-0.6854710955079386,42064,0.15622486732900143
0.07,705,22.83,2920,94285,-0.6754475150575755,42136,0.14883340895175934
0.07,707,23.05,2930,94520,-0.6980964233062136,42256,0.12882192665711045
0.07,709,22.85,2940,94704,-0.7064078741134295,42344,0.14843402430415154
0.07,712,23.88,2950,95025,-0.7467697857589813,42512,0.2005640221759677
0.07,714,25.13,2960,95341,-0.7670300262079215,42664,0.19928686507046223
0.07,716,23.83,2970,95508,-0.7346407220765901,42752,0.12683182244654745
0.07,717,21.45,2980,95676,-0.693812383881913,42832,0.17207353236153722
0.07,719,21.98,2990,95909,-0.7021864822792135,42952,0.20514274574816227
0.07,721,21.96,3000,96115,-0.713836144743422,43056,0.1643823143094778
0.07,722,20.99,3010,96329,-0.6821854941278184,43160,0.17212703078985214
0.07,724,21.17,3020,96502,-0.6929160211520677,43248,0.1447714506648481
0.07,725,20.62,3030,96682,-0.6794989174861243,43336,0.17979516414925456
0.07,728,21.72,3040,96976,-0.6938921246285576,43480,0.15898774564266205
0.07,730,20.66,3050,97191,-0.6912969795145087,43592,0.19555545784533024
0.07,731,19.3,3060,97371,-0.6570084253424834,43680,0.1736129429191351
